feature,importance
weather_enc,0.24330730647289622
visibility,0.12311608407131301
longitude,0.10787110525991447
latitude,0.08804201899396692
is_night,0.08014484138000871
speed_limit,0.062212779259847396
junction,0.048204516299455644
is_weekend,0.04284314445269262
day_of_week,0.04128945195974255
wind_speed,0.03492538553988103
temperature,0.034759675547865264
precipitation,0.03345122167646579
hour,0.02265980717846088
traffic_density,0.02088321434167993
month,0.011718651414598031
road_type_enc,0.004570796151211374
